,accuracy,balanced_accuracy,f1,precision,recall,fbeta,model,sampling,tn,fp,fn,tp,itr,bci_accuracy,channels,discretization,epochs
451,0.8811111111111111,0.5525,0.19548872180451127,0.3939393939393939,0.13,0.2801724137931035,SVM,real,780,20,87,13,0.2338678614459096,0.02,8,60,1
452,0.8888888888888888,0.504375,0.0196078431372549,0.5,0.01,0.046296296296296294,RF_untuned,real,799,1,99,1,0.0,0.0,8,60,1
453,0.8888888888888888,0.5,0.0,0.0,0.0,,RF,real,800,0,100,0,0.0,0.0,8,60,1
454,0.8855555555555555,0.51125,0.055045871559633024,0.3333333333333333,0.03,0.11029411764705882,XGB_untuned,real,794,6,97,3,0.0,0.0,8,60,1
455,0.8855555555555555,0.541875,0.16260162601626016,0.43478260869565216,0.1,0.26041666666666663,XGB,real,787,13,90,10,0.0,0.0,8,60,1
456,0.8877777777777778,0.50375,0.019417475728155338,0.3333333333333333,0.01,0.044642857142857144,LGB_untuned,real,798,2,99,1,0.0,0.0,8,60,1
457,0.8955555555555555,0.53,0.11320754716981131,1.0,0.06,0.24193548387096772,LGB,real,800,0,94,6,0.0,0.0,8,60,1
458,0.89,0.509375,0.038834951456310676,0.6666666666666666,0.02,0.08928571428571429,CatBoost_untuned,real,799,1,98,2,0.0,0.0,8,60,1
459,0.88,0.6875,0.4489795918367347,0.4583333333333333,0.44,0.45454545454545453,LDA,real,374,26,28,22,4.543460546053879,0.2,8,60,2
460,0.8977777777777778,0.63625,0.3947368421052631,0.5769230769230769,0.3,0.48701298701298695,SVM,real,389,11,35,15,0.471729521189849,0.08,8,60,2
461,0.8955555555555555,0.5387500000000001,0.14545454545454545,0.8,0.08,0.2857142857142857,RF_untuned,real,399,1,46,4,0.002886394426745061,0.04,8,60,2
462,0.8888888888888888,0.5,0.0,0.0,0.0,,RF,real,400,0,50,0,0.0,0.0,8,60,2
463,0.8955555555555555,0.60875,0.33802816901408445,0.5714285714285714,0.24,0.4477611940298507,XGB_untuned,real,391,9,38,12,0.0,0.0,8,60,2
464,0.8866666666666667,0.6125,0.33766233766233766,0.48148148148148145,0.26,0.4113924050632912,XGB,real,386,14,37,13,0.0,0.0,8,60,2
465,0.8955555555555555,0.565,0.22950819672131148,0.6363636363636364,0.14,0.37234042553191493,LGB_untuned,real,396,4,43,7,0.0,0.0,8,60,2
466,0.9066666666666666,0.6325000000000001,0.4,0.7,0.28,0.5384615384615385,LGB,real,394,6,36,14,0.002886394426745061,0.04,8,60,2
467,0.9,0.5675,0.23728813559322035,0.7777777777777778,0.14,0.40697674418604657,CatBoost_untuned,real,398,2,43,7,0.002886394426745061,0.04,8,60,2
468,0.9066666666666666,0.825,0.631578947368421,0.5625,0.72,0.5882352941176471,LDA,real,186,14,7,18,11.70556369244102,0.5,8,60,4
469,0.9377777777777778,0.755,0.65,0.8666666666666667,0.52,0.7647058823529413,SVM,real,198,2,12,13,4.8607400019500915,0.3,8,60,4
470,0.9155555555555556,0.69,0.5128205128205129,0.7142857142857143,0.4,0.617283950617284,RF_untuned,real,196,4,15,10,2.2717302730269395,0.2,8,60,4
471,0.9111111111111111,0.6,0.33333333333333337,1.0,0.2,0.5555555555555556,RF,real,200,0,20,5,0.0,0.0,8,60,4
472,0.9288888888888889,0.6975,0.5555555555555556,0.9090909090909091,0.4,0.7246376811594202,XGB_untuned,real,199,1,15,10,2.2717302730269395,0.2,8,60,4
473,0.92,0.71,0.5499999999999999,0.7333333333333333,0.44,0.6470588235294118,XGB,real,196,4,14,11,0.462468018726699,0.1,8,60,4
474,0.9288888888888889,0.7324999999999999,0.6,0.8,0.48,0.7058823529411765,LGB_untuned,real,197,3,13,12,2.2717302730269395,0.2,8,60,4
475,0.9288888888888889,0.75,0.6190476190476191,0.7647058823529411,0.52,0.6989247311827957,LGB,real,196,4,12,13,2.2717302730269395,0.2,8,60,4
476,0.9244444444444444,0.6950000000000001,0.5405405405405406,0.8333333333333334,0.4,0.6849315068493151,CatBoost_untuned,real,198,2,15,10,4.8607400019500915,0.3,8,60,4
477,0.9261744966442953,0.9036654135338346,0.717948717948718,0.6086956521739131,0.875,0.6481481481481481,LDA,real,124,9,2,14,5.353739315689691,0.4,8,60,6
478,0.959731543624161,0.8399906015037594,0.7857142857142857,0.9166666666666666,0.6875,0.859375,SVM,real,132,1,5,11,5.353739315689691,0.4,8,60,6
479,0.9261744966442953,0.65625,0.47619047619047616,1.0,0.3125,0.6944444444444444,RF_untuned,real,133,0,11,5,0.0,0.0,8,60,6
480,0.9194630872483222,0.625,0.4,1.0,0.25,0.625,RF,real,133,0,12,4,0.0,0.0,8,60,6
481,0.9664429530201343,0.84375,0.8148148148148148,1.0,0.6875,0.9166666666666666,XGB_untuned,real,133,0,5,11,1.5144868486846264,0.2,8,60,6
482,0.9530201342281879,0.78125,0.72,1.0,0.5625,0.8653846153846154,XGB,real,133,0,7,9,1.5144868486846264,0.2,8,60,6
483,0.9463087248322147,0.75,0.6666666666666666,1.0,0.5,0.8333333333333334,LGB_untuned,real,133,0,8,8,1.5144868486846264,0.2,8,60,6
484,0.959731543624161,0.8125,0.7692307692307693,1.0,0.625,0.8928571428571429,LGB,real,133,0,6,10,1.5144868486846264,0.2,8,60,6
485,0.9261744966442953,0.65625,0.47619047619047616,1.0,0.3125,0.6944444444444444,CatBoost_untuned,real,133,0,11,5,0.0,0.0,8,60,6
486,0.7232142857142857,0.625,0.27906976744186046,0.1935483870967742,0.5,0.22058823529411767,LDA,real,75,25,6,6,0.0,0.0,8,60,8
487,0.9642857142857143,0.8333333333333333,0.8,1.0,0.6666666666666666,0.9090909090909091,SVM,real,100,0,4,8,1.1358651365134698,0.2,8,60,8
488,0.9464285714285714,0.75,0.6666666666666666,1.0,0.5,0.8333333333333334,RF_untuned,real,100,0,6,6,1.1358651365134698,0.2,8,60,8
489,0.9464285714285714,0.75,0.6666666666666666,1.0,0.5,0.8333333333333334,RF,real,100,0,6,6,1.1358651365134698,0.2,8,60,8
490,0.9375,0.7816666666666667,0.6666666666666666,0.7777777777777778,0.5833333333333334,0.7291666666666666,XGB_untuned,real,98,2,5,7,4.015304486767269,0.4,8,60,8
491,0.9107142857142857,0.73,0.5454545454545454,0.6,0.5,0.5769230769230769,XGB,real,96,4,6,6,7.932337585218177,0.6,8,60,8
492,0.9464285714285714,0.7866666666666666,0.7000000000000001,0.875,0.5833333333333334,0.7954545454545454,LGB_untuned,real,99,1,5,7,4.015304486767269,0.4,8,60,8
493,0.9285714285714286,0.74,0.6,0.75,0.5,0.6818181818181818,LGB,real,98,2,6,6,4.015304486767269,0.4,8,60,8
494,0.9285714285714286,0.7033333333333334,0.5555555555555556,0.8333333333333334,0.4166666666666667,0.6944444444444445,CatBoost_untuned,real,99,1,7,5,4.015304486767269,0.4,8,60,8
495,0.8488888888888889,0.630625,0.33980582524271846,0.330188679245283,0.35,0.33396946564885494,LDA,real,729,71,65,35,4.2756844306424275,0.14,16,60,1
496,0.88,0.565,0.22857142857142856,0.4,0.16,0.3076923076923077,SVM,real,776,24,84,16,0.2338678614459096,0.02,16,60,1
497,0.8866666666666667,0.49875,0.0,0.0,0.0,,RF_untuned,real,798,2,100,0,0.0,0.0,16,60,1
498,0.8888888888888888,0.5,0.0,0.0,0.0,,RF,real,800,0,100,0,0.0,0.0,16,60,1
499,0.8811111111111111,0.504375,0.036036036036036036,0.18181818181818182,0.02,0.06944444444444445,XGB_untuned,real,791,9,98,2,0.0,0.0,16,60,1
500,0.8822222222222222,0.54,0.15873015873015872,0.38461538461538464,0.1,0.24509803921568626,XGB,real,784,16,90,10,0.005772788853490122,0.04,16,60,1
501,0.8877777777777778,0.50375,0.019417475728155338,0.3333333333333333,0.01,0.044642857142857144,LGB_untuned,real,798,2,99,1,0.0,0.0,16,60,1
502,0.89,0.518125,0.07476635514018691,0.5714285714285714,0.04,0.15624999999999997,LGB,real,797,3,96,4,0.0,0.0,16,60,1
503,0.8877777777777778,0.5081249999999999,0.03809523809523809,0.4,0.02,0.08333333333333333,CatBoost_untuned,real,797,3,98,2,0.0,0.0,16,60,1
504,0.84,0.7,0.4193548387096775,0.35135135135135137,0.52,0.3757225433526012,LDA,real,352,48,24,26,2.870143071406428,0.16,16,60,2
505,0.8955555555555555,0.635,0.3896103896103896,0.5555555555555556,0.3,0.47468354430379744,SVM,real,388,12,35,15,0.471729521189849,0.08,16,60,2
506,0.8955555555555555,0.5475,0.1754385964912281,0.7142857142857143,0.1,0.32051282051282054,RF_untuned,real,398,2,45,5,0.002886394426745061,0.04,16,60,2
507,0.8888888888888888,0.5,0.0,0.0,0.0,,RF,real,400,0,50,0,0.0,0.0,16,60,2
508,0.8977777777777778,0.63625,0.3947368421052631,0.5769230769230769,0.3,0.48701298701298695,XGB_untuned,real,389,11,35,15,0.0,0.0,16,60,2
509,0.9088888888888889,0.66875,0.4675324675324675,0.6666666666666666,0.36,0.569620253164557,XGB,real,391,9,32,18,0.002886394426745061,0.04,16,60,2
510,0.9044444444444445,0.61375,0.3582089552238806,0.7058823529411765,0.24,0.5084745762711864,LGB_untuned,real,395,5,38,12,0.002886394426745061,0.04,16,60,2
511,0.9022222222222223,0.6125,0.3529411764705882,0.6666666666666666,0.24,0.4918032786885246,LGB,real,394,6,38,12,0.471729521189849,0.08,16,60,2
512,0.8955555555555555,0.55625,0.20338983050847456,0.6666666666666666,0.12,0.3488372093023256,CatBoost_untuned,real,397,3,44,6,0.002886394426745061,0.04,16,60,2
513,0.7111111111111111,0.6799999999999999,0.32989690721649484,0.2222222222222222,0.64,0.25559105431309903,LDA,real,144,56,9,16,0.462468018726699,0.1,16,60,4
514,0.9377777777777778,0.7375,0.631578947368421,0.9230769230769231,0.48,0.7792207792207793,SVM,real,199,1,13,12,4.8607400019500915,0.3,16,60,4
